product_id,product_name,category,subcategory,price,cost,stock_quantity,supplier_id,is_discontinued
91,Synchronized 4thgeneration ability,Clothing,Pants,472.3,192.63,427,7,False
92,Synergistic leadingedge Graphic Interface,Electronics,Tablets,812.94,505.67,201,20,False
93,Vision-oriented needs-based process improvement,Electronics,Tablets,839.49,374.07,200,11,False
94,Programmable web-enabled access,Sports,Accessories,464.94,226.0,53,14,False
95,Devolved high-level productivity,Books,Non-fiction,434.34,247.31,412,8,False
96,Visionary executive hub,Clothing,Shoes,664.87,405.59,212,2,False
97,Enhanced systematic productivity,Home,Garden,892.13,482.48,176,18,False
98,Multi-layered value-added flexibility,Books,Fiction,95.23,47.39,210,10,False
99,Ameliorated scalable encryption,Books,Fiction,723.99,485.68,342,16,False
100,Automated tertiary firmware,Electronics,Tablets,365.24,237.56,10,7,False
101,Progressive mission-critical alliance,Books,Non-fiction,39.07,19.81,284,6,False
102,Mandatory 3rdgeneration installation,Sports,Footwear,530.96,364.07,415,3,False
103,Operative intermediate knowledgebase,Sports,Footwear,94.97,29.33,474,6,False
104,Switchable hybrid capability,Home,Kitchen,875.57,499.57,302,2,False
105,Fully-configurable intermediate projection,Sports,Equipment,770.69,513.38,212,1,False
106,Cross-platform foreground secured line,Sports,Equipment,312.53,112.9,95,14,False
107,Re-engineered solution-oriented support,Clothing,Pants,412.78,152.03,262,14,False
108,Self-enabling homogeneous Internet solution,Books,Comics,700.6,365.66,466,11,False
109,Decentralized 6thgeneration support,Home,Furniture,800.61,409.83,477,9,False
110,Multi-tiered zero administration implementation,Books,Educational,20.16,10.72,31,20,False
111,Polarized interactive project,Clothing,Shoes,179.65,123.09,329,19,False
112,Face-to-face radical algorithm,Electronics,Tablets,627.25,190.43,41,1,False
113,Vision-oriented object-oriented adapter,Home,Garden,721.92,274.95,370,5,False
114,Compatible asymmetric forecast,Books,Non-fiction,914.92,561.89,147,7,False
115,Horizontal maximized open architecture,Sports,Accessories,345.44,194.0,354,20,False
116,Multi-channeled tertiary throughput,Home,Kitchen,655.81,305.26,217,10,False
117,Face-to-face hybrid initiative,Home,Kitchen,48.58,20.8,401,18,False
118,Enterprise-wide real-time pricing structure,Clothing,Accessories,764.96,277.23,322,10,False
119,Streamlined global superstructure,Books,Non-fiction,810.1,296.62,493,4,False
120,Diverse didactic flexibility,Clothing,Shirts,307.08,123.54,133,20,False
121,Organized context-sensitive circuit,Electronics,Tablets,78.36,54.56,276,5,False
122,Expanded disintermediate access,Home,Furniture,675.73,298.86,29,3,False
123,Streamlined regional architecture,Books,Educational,76.88,28.36,396,2,False
124,Phased content-based flexibility,Electronics,Phones,543.58,166.79,272,7,False
125,Customizable mobile website,Electronics,Tablets,390.34,247.59,456,15,False
126,Visionary zero-defect product,Sports,Accessories,971.79,321.28,222,8,False
127,Managed zero-defect application,Sports,Apparel,776.59,483.25,31,3,False
128,Object-based attitude-oriented solution,Home,Furniture,178.78,70.06,454,10,False
129,Assimilated systematic data-warehouse,Books,Comics,864.18,601.44,113,1,True
130,Reverse-engineered 24/7 standardization,Clothing,Accessories,184.39,89.73,495,5,False
131,Synergistic neutral Graphic Interface,Books,Comics,691.83,469.64,431,19,False
132,Enterprise-wide system-worthy Graphical User Interface,Electronics,Phones,117.83,69.38,222,8,False
133,Advanced hybrid protocol,Books,Fiction,467.42,210.98,358,4,False
134,Customer-focused multi-tasking website,Home,Garden,681.75,328.16,415,7,False
135,Enterprise-wide content-based hub,Home,Decor,534.57,267.49,331,4,False
136,Progressive content-based Graphic Interface,Sports,Apparel,155.34,72.79,81,5,False
137,Polarized secondary parallelism,Home,Furniture,484.86,314.43,164,2,False
138,Synergized zero tolerance monitoring,Sports,Apparel,964.27,578.11,147,3,False
139,Extended radical task-force,Books,Fiction,948.03,435.23,197,4,False
140,Extended client-server paradigm,Clothing,Shoes,354.61,153.59,67,8,False
141,Progressive eco-centric moratorium,Clothing,Accessories,31.84,21.25,26,16,False
142,Innovative multimedia archive,Electronics,Accessories,881.76,401.0,423,5,False
143,Advanced systemic portal,Clothing,Pants,979.65,650.84,20,12,False
144,Inverse dedicated model,Clothing,Pants,942.97,437.81,274,17,False
145,Public-key high-level intranet,Sports,Accessories,877.52,356.39,348,16,False
146,User-centric maximized portal,Clothing,Shirts,667.86,447.03,435,10,False
147,Multi-layered asynchronous structure,Electronics,Accessories,776.85,335.12,72,11,False
148,Automated system-worthy circuit,Clothing,Pants,477.62,205.24,227,5,False
149,Future-proofed homogeneous hierarchy,Books,Non-fiction,462.15,166.02,422,12,False
150,Implemented multimedia algorithm,Sports,Equipment,906.24,487.63,111,5,False
151,Synchronized local software,Books,Fiction,722.78,322.12,44,2,False
152,Synergized client-server artificial intelligence,Clothing,Shoes,926.41,423.43,219,5,False
153,Open-source client-driven flexibility,Books,Comics,272.29,102.72,427,2,False
154,Extended stable database,Home,Garden,715.67,479.63,132,2,False
155,Configurable upward-trending concept,Books,Educational,605.4,325.83,419,15,False
156,Profound radical policy,Electronics,Accessories,561.44,173.78,107,20,False
157,Cross-group reciprocal leverage,Books,Fiction,664.28,226.61,170,13,False
158,Future-proofed bi-directional archive,Electronics,Phones,519.2,233.62,402,10,False
159,Programmable analyzing installation,Clothing,Pants,508.89,259.36,116,3,False
160,Persevering demand-driven info-mediaries,Electronics,Accessories,606.35,355.91,477,5,True
161,Pre-emptive actuating throughput,Electronics,Accessories,894.59,507.13,285,19,False
162,Quality-focused context-sensitive adapter,Sports,Footwear,274.3,154.55,341,19,False
163,Down-sized zero-defect initiative,Clothing,Shoes,355.36,165.5,28,6,False
164,Secured high-level ability,Electronics,Laptops,639.61,359.94,393,1,False
165,User-centric non-volatile capability,Sports,Equipment,163.15,79.86,166,4,False
166,Assimilated stable initiative,Clothing,Accessories,827.4,279.4,232,8,False
167,Enhanced clear-thinking framework,Clothing,Shirts,49.0,28.83,105,7,False
168,Self-enabling upward-trending hardware,Clothing,Accessories,659.05,207.81,316,15,False
169,Enterprise-wide incremental firmware,Sports,Footwear,660.88,229.19,408,17,False
170,Multi-tiered motivating forecast,Home,Furniture,545.06,337.9,234,10,False
171,Cross-platform coherent capability,Home,Furniture,557.48,389.98,236,20,False
172,User-centric context-sensitive access,Books,Fiction,823.49,435.76,233,20,False
173,Pre-emptive cohesive Graphic Interface,Home,Garden,393.12,159.55,307,5,False
174,Cross-platform impactful infrastructure,Electronics,Phones,133.03,43.92,187,8,False
175,Upgradable dynamic extranet,Sports,Equipment,779.79,448.12,47,11,False
176,Quality-focused optimal customer loyalty,Clothing,Shoes,743.81,310.88,353,13,False
177,Expanded modular parallelism,Clothing,Shoes,927.86,636.59,137,16,False
178,Diverse real-time project,Home,Kitchen,237.94,149.46,487,20,False
179,Decentralized tangible hierarchy,Clothing,Accessories,596.23,282.0,390,12,False
180,Grass-roots analyzing model,Books,Comics,482.25,188.29,150,9,False
181,User-centric client-server analyzer,Clothing,Shoes,914.9,346.89,134,7,False
182,Open-architected global time-frame,Electronics,Accessories,424.48,207.92,210,18,False
183,Assimilated systemic capacity,Home,Furniture,126.15,81.34,213,9,False
184,Re-engineered object-oriented alliance,Sports,Equipment,256.84,97.33,281,9,False
185,Expanded composite productivity,Sports,Apparel,514.35,159.23,76,4,False
186,Multi-lateral needs-based interface,Home,Garden,54.9,27.49,433,8,False
187,Cross-platform zero tolerance archive,Books,Non-fiction,845.14,414.2,169,12,False
188,Grass-roots attitude-oriented artificial intelligence,Electronics,Phones,859.46,420.18,115,16,False
189,Total 5thgeneration architecture,Books,Fiction,380.28,143.09,159,19,False
190,Realigned motivating approach,Electronics,Accessories,517.4,321.08,432,18,False
191,Open-source context-sensitive installation,Home,Decor,694.01,463.72,112,16,False
192,Progressive context-sensitive core,Clothing,Pants,783.47,403.19,488,1,False
193,Adaptive neutral model,Electronics,Phones,592.07,252.56,402,9,False
194,Business-focused optimizing complexity,Electronics,Phones,617.3,202.76,456,5,False
195,Progressive global initiative,Clothing,Shirts,518.3,280.85,164,7,False
196,Visionary asynchronous product,Sports,Footwear,311.35,206.88,181,20,False
197,Adaptive high-level open system,Sports,Apparel,453.54,182.5,467,17,False
198,Ergonomic human-resource Local Area Network,Sports,Footwear,231.52,101.33,113,3,False
199,Switchable coherent forecast,Clothing,Pants,313.82,152.53,14,4,False
200,Quality-focused stable interface,Home,Furniture,918.18,513.61,26,12,False
